,channelName,date,dislikes,title,likes,Subscribers,url,Views,Keywords,id
0,Programming with Mosh,2019-02-18,4400,natural language processing,568000,1780000,https://www.youtube.com/watch?v=_uQrJ0TkZlc,18699415,natural language processing,1
1,CS Dojo,2017-12-26,2000,java tutorial beginner,149000,1670000,https://www.youtube.com/watch?v=Z1Yd7upQsXY,6722234,java tutorial beginner,2
2,TechWorld with Nana,2021-03-05,145,hadoop tutorial beginner,21000,219000,https://www.youtube.com/watch?v=t8pPdKYpowI,502252,hadoop tutorial beginner,3
3,Kevin Stratvert,2021-03-25,33,python tutorial beginner,3100,739000,https://www.youtube.com/watch?v=b093aqAZiPU,77132,python tutorial beginner,4
4,PolyMatter,2018-04-20,8600,data visualization python,97000,1390000,https://www.youtube.com/watch?v=EFwa5Owp0-k,3089955,data visualization python,5
5,Devslopes,2020-12-13,6500,style scope formatted,11000,116000,https://www.youtube.com/watch?v=sO1ctUNQ1k8,400634,style scope formatted,6
6,Kalle Hallden,2020-12-25,176,scope formatted string,17000,500000,https://www.youtube.com/watch?v=IUZTbEaDo0U,354620,scope formatted string,7
7,Afternerd,2020-08-16,72,programming language learn,3700,4360,https://www.youtube.com/watch?v=1GqMpz77XlU,115981,programming language learn,8
8,edureka!,2019-12-01,1300,azure tutorial beginner,66000,2670000,https://www.youtube.com/watch?v=WGJJIrtnfpk,3121306,azure tutorial beginner,9
9,edureka!,2019-10-22,294,tutorial beginner learn,10000,2670000,https://www.youtube.com/watch?v=WvhQhj4n6b8,398774,tutorial beginner learn,10
10,Sundeep Saradhi Kanthety,2020-10-28,307,tutorial beginner edureka,21000,280000,https://www.youtube.com/watch?v=9hVzEKZQyMU,663644,tutorial beginner edureka,11
11,Paul McWhorter,2021-02-24,12,tableau power chapter,2000,222000,https://www.youtube.com/watch?v=XCKWZAtKTnU,40216,tableau power chapter,12
12,howCode,2018-07-07,258,best programming language,15000,73200,https://www.youtube.com/watch?v=I2wURDqiXdM,346224,best programming language,13
13,Amigoscode,2020-10-12,68,learning deep learning,7000,185000,https://www.youtube.com/watch?v=LzYNWme1W6Q,197384,learning deep learning,14
14,freeCodeCamp.org,2019-05-02,664,tutorial beginner hadoop,78000,3630000,https://www.youtube.com/watch?v=8DvywoWv6fI,2497727,tutorial beginner hadoop,15
15,Programming with Mosh,2018-10-23,395,hadoop training edureka,34000,1780000,https://www.youtube.com/watch?v=Y8Tko2YC5hA,985014,hadoop training edureka,16
16,edureka!,,273,full course learn,8700,2670000,https://www.youtube.com/watch?v=woVJ4N5nl_s,482673,full course learn,17
17,freeCodeCamp.org,2020-12-09,329,span auto class,26000,3630000,https://www.youtube.com/watch?v=8ext9G7xspg,685373,span auto class,18
18,Maya Bello,2020-04-27,6,auto class style,902,7500,https://www.youtube.com/watch?v=bF_xdxYN-zw,16995,auto class style,19
19,Corey Schafer,2017-05-17,187,class style scope,14000,779000,https://www.youtube.com/watch?v=9Os0o3wzS_I,726454,class style scope,20
20,Corey Schafer,2017-05-17,197,span class simple,20000,779000,https://www.youtube.com/watch?v=YYXdXT2l-Gg,1803633,span class simple,21
21,Tech With Tim,2020-05-08,96,class simple endpoint,18000,660000,https://www.youtube.com/watch?v=sxTmJE4k0ho,405070,class simple endpoint,22
22,LoveUrCode,2021-06-04,0,simple endpoint style,35,156,https://www.youtube.com/watch?v=kzojtItDnYk,113,simple endpoint style,23
23,FATEMA VHORA,2021-06-04,0,endpoint style scope,8,291,https://www.youtube.com/watch?v=ogl-r0x4pZ8,25,endpoint style scope,24
24,DhruvTheCoder,,2,formatted string spellcheck,34,0,https://www.youtube.com/watch?v=aTiuuREV3Mo,191,formatted string spellcheck,25
25,VOID learning,2021-06-04,0,string spellcheck false,7,0,https://www.youtube.com/watch?v=FSBMiXq9ZJE,27,string spellcheck false,26
26,Saturday Developer,2021-06-04,0,spellcheck false href,6,0,https://www.youtube.com/watch?v=Qi89gU31ezQ,24,spellcheck false href,27
27,Hardik Tutorials,2021-06-04,0,false href hashtag,1,21,https://www.youtube.com/watch?v=baUg5armNfo,11,false href hashtag,28
28,Programming with Mosh,2020-09-16,413,selection machine learning,42000,1780000,https://www.youtube.com/watch?v=kqtD5dpn9C8,1470651,selection machine learning,29
29,freeCodeCamp.org,2018-07-11,6400,beginner learn python,608000,3630000,https://www.youtube.com/watch?v=rfscVS0vtbw,24478419,beginner learn python,30
30,Telusko,2019-05-04,520,tutorial beginner java,31000,1370000,https://www.youtube.com/watch?v=8cm1x4bC610,1807640,tutorial beginner java,31
31,Amigoscode,2020-09-09,219,tableau training beginner,15000,185000,https://www.youtube.com/watch?v=Qgl81fPcLc8,441270,tableau training beginner,32
32,edureka!,2019-06-23,831,feature selection machine,38000,2670000,https://www.youtube.com/watch?v=hBh_CC5y8-s,2036358,feature selection machine,33
33,Alex Lee,2019-04-18,2800,java full course,89000,190000,https://www.youtube.com/watch?v=RRubcjpTkks,1845644,java full course,34
34,blondiebytes,2019-07-09,101,full course hour,1700,64200,https://www.youtube.com/watch?v=RLi1rOgTRbA,68472,full course hour,35
35,Caleb Curry,2018-11-26,191,python library data,11000,377000,https://www.youtube.com/watch?v=2dZiMBwX_5Q,588053,python library data,36
36,freeCodeCamp.org,2019-05-21,278,tableau tutorial tableau,15000,3630000,https://www.youtube.com/watch?v=GoXwIVyNvX0,808191,tableau tutorial tableau,37
37,Tech With Tim,2020-12-19,23,machine learning deep,1800,660000,https://www.youtube.com/watch?v=Yv_4RXyLjL8,53593,machine learning deep,38
38,freeCodeCamp.org,2018-08-08,898,microsoft azure tutorial,42000,3630000,https://www.youtube.com/watch?v=grEKMHGYyns,2446681,microsoft azure tutorial,39
39,TechLead,2018-06-09,3300,tutorial feature selection,89000,1060000,https://www.youtube.com/watch?v=R2pIutTspQA,2925656,tutorial feature selection,40
